Date,State,Confirmed,Recovered,Deaths,Other,Tested
2021-10-03,India,33834253,33113666,449029,13063,574252400
2021-10-03,Uttar Pradesh,1709857,1686804,22894,0,79130216
2021-10-03,Uttarakhand,343567,329920,7395,6100,7436267
2021-10-03,West Bengal,1571240,1544828,18825,0,18263366
2021-10-04,Andaman and Nicobar Islands,7624,7485,129,0,559092
2021-10-04,Andhra Pradesh,2053192,2029231,14208,0,28476467
2021-10-04,Arunachal Pradesh,54752,54061,277,0,1152517
2021-10-04,Assam,603238,593152,5890,1347,23735869
2021-10-04,Bihar,725971,716279,9661,1,46676731
2021-10-04,Chandigarh,65243,64386,819,0,746335
2021-10-04,Chhattisgarh,1005412,991612,13568,0,13202330
2021-10-04,Delhi,1439000,1413514,25088,0,27890198
2021-10-04,Dadra and Nagar Haveli and Daman and Diu,10675,10638,4,31,72410
2021-10-04,Goa,176681,172632,3320,0,1369371
2021-10-04,Gujarat,826016,815762,10082,0,29555142
2021-10-04,Himachal Pradesh,219591,214496,3669,17,3492141
2021-10-04,Haryana,770924,760770,9874,0,12498391
2021-10-04,Jharkhand,348272,343047,5135,0,14935686
2021-10-04,Jammu and Kashmir,329889,324308,4424,0,15044940
2021-10-04,Karnataka,2978286,2928433,37832,29,48120614
2021-10-04,Kerala,4729056,4574206,25526,529,35681666
2021-10-04,Ladakh,20825,20568,207,0,539944
2021-10-04,Lakshadweep,10362,10267,51,43,256108
2021-10-04,Maharashtra,6562514,6386059,139233,3585,59337713
2021-10-04,Meghalaya,81859,78957,1408,0,1085549
2021-10-04,Manipur,121146,117076,1868,0,1310471
2021-10-04,Madhya Pradesh,792570,781925,10522,0,18768790
2021-10-04,Mizoram,98175,83619,326,0,1114124
2021-10-04,Nagaland,31322,29340,666,1003,376831
2021-10-04,Odisha,1028366,1015608,8273,0,20236945
2021-10-04,Punjab,601739,584946,16521,0,14653465
2021-10-04,Puducherry,126587,124091,1842,0,1815201
2021-10-04,Rajasthan,954342,945331,8954,0,14423620
2021-10-04,Sikkim,31537,30383,388,316,250830
2021-10-04,Telangana,666753,658409,3923,0,26543381
2021-10-04,Tamil Nadu,2669962,2617432,35666,0,47598685
2021-10-04,Tripura,84175,83131,812,63,1915909
2021-10-04,India,33851354,33143311,449292,13067,575394042
2021-10-04,Uttar Pradesh,1709873,1686821,22894,0,79266731
2021-10-04,Uttarakhand,343584,329936,7395,6103,7448199
2021-10-04,West Bengal,1571841,1545400,18837,0,18289876
2021-10-05,Andaman and Nicobar Islands,7626,7488,129,0,560925
2021-10-05,Andhra Pradesh,2053863,2030503,14219,0,28517990
2021-10-05,Arunachal Pradesh,54771,54080,277,0,1154526
2021-10-05,Assam,603623,593308,5897,1347,23781920
2021-10-05,Bihar,725973,716283,9661,1,46789083
2021-10-05,Chandigarh,65247,64389,820,0,748634
2021-10-05,Chhattisgarh,1005425,991637,13568,0,13224921
2021-10-05,Delhi,1439027,1413590,25088,0,27945735
2021-10-05,Dadra and Nagar Haveli and Daman and Diu,10675,10638,4,31,72410
2021-10-05,Goa,176767,172698,3322,0,1373627
2021-10-05,Gujarat,826039,815776,10083,0,29614939
2021-10-05,Himachal Pradesh,219746,214657,3672,17,3501015
2021-10-05,Haryana,770938,760780,9875,0,12522979
2021-10-05,Jharkhand,348280,343061,5135,0,15019116
2021-10-05,Jammu and Kashmir,329991,324493,4424,0,15092025
2021-10-05,Karnataka,2978808,2929008,37845,29,48207917
2021-10-05,Kerala,4738791,4588084,25677,529,35774868
2021-10-05,Ladakh,20830,20571,207,0,540840
2021-10-05,Lakshadweep,10363,10267,51,43,256533
2021-10-05,Maharashtra,6564915,6388899,139272,3585,59469053
2021-10-05,Meghalaya,81955,79173,1409,0,1089281
2021-10-05,Manipur,121303,117708,1871,0,1313152
